"state","year","co2_emission","total_num_investments","total_amnt_assist","BDFDB","BDPRP","BFFDB","BFPRP","CLPRB","CLPRK","CLPRP","COPRK","EMFDB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NGMPK","NGMPP","NUETB","PAPRB","PAPRP","REPRB","SOTCB","TEPRB","TETCB","WDEXB","WDPRB","WDTCB","WSTCB","WWPRB","WYTCB","employment_total","employment_wage_salary","employment_proprietors","employment_proprietors_farm","employment_proprietors_nonfarm","employment_farm","employment_nonfarm","employment_nonfarm_private","employment_forestry_fishing_related","employment_mining_quarrying_oil_gas","employment_utilities","employment_contrsuction","employment_manufacturing","employment_wholesale_trade","employment_retail_trade","employment_transportation_warehousing","employment_information","employment_finance_insurance","employment_real_estate_rental_leasing","employment_professional_scientific_technical","employment_management_companies","employment_administrative_support_waste_remediation","employment_educational","employment_healh_care","employment_arts_entertainment_recreation","employment_accommodation_food","employment_other_services","employment_government_gov_enterprises","employment_federal_civilian","employment_military","employment_state_local","employment_state","employment_local","gdp_all_industry_total","gdp_private_industries","gdp_agriculture_forestry_fishing_hunting","gdp_farms","gdp_forestry_fishing_related","gdp_mining_quarrying_oil_gas","gdp_oil_gas","gdp_mining","gdp_support_activities_mining","gdp_utlilities","gdp_construction","gdp_manufacturing","gdp_durable_goods_manufacturing","gdp_wood_product_manufacturing","gdp_nonmetallic_mineral_product_manufacturing","gdp_primary_metal_manufacturing","gdp_fabricated_metal_product_manufacturing","gdp_machinery_manufacturing","gdp_computer_electronic_manufacturing","gdp_electrical_equipment_appliance_manufacturing","gdp_vehicles_trailers_parts_manufacturing","gdp_other_transportation_equipment_manufacturing","gdp_furniture_manufacturing","gdp_miscellaneous_manufacturing","gdp_nondurable_goods_manufacturing","gdp_food_beverage_tabacco_manufacturing","gdp_textile","gdp_apparel_manufacturing","gdp_paper_manufacturing","gdp_printing","gdp_petroleum_coal_manufacturing","gdp_chemical_manufacturing","gdp_plastics_rubber_manufacturing","gdp_wholesale_trade","gdp_retail_trade","gdp_transportation_warehousing","gdp_air_transportation","gdp_rail_transportation","gdp_water_trasnportation","gdp_truck_transportation","gdp_ground_passenger_transportation","gdp_pipeline_transportation","gdp_other_transportation","gdp_warehousing","gdp_information","gdp_publishing_industries","gdp_motion_pictures","gdp_broadcasting","gdp_data_processing_hosting","gdp_finance_insurance_real_estate","gdp_finance_insurance","gdp_monetary_authorities","gdp_securities_contracts","gdp_insurance_carriers","gdp_funds_trusts","gdp_real_estate_rental_leasing","gdp_real_estate","gdp_rental_leasing","gdp_professional_business","gdp_professional_scientific_technical","gdp_legal","gdp_computer_systems_design","gdp_misc_professional_scientific","gdp_management_companies_enterprises","gdp_administrative_support_waste","gdp_administrative_support","gdp_waste_remediation","gdp_educational_health_social","gdp_educational","gdp_health_care_social","gdp_ambulatory_health","gdp_hospitals","gdp_nursing","gdp_social_assistance","gdp_arts_entertainment_recreation_accommodation_food","gdp_arts_entertainment_recreation","gdp_performing_arts_spectator_sports_museums","gdp_amusement_gambling","gdp_accommodation_food","gdp_accommodation","gdp_food_services","gdp_other_services","gdp_government_gov_enterprises","gdp_federal_civilian","gdp_military","gdp_state_local","gdp_natural_resources_mining","gdp_trade","gdp_transportation_utlities","gdp_manufacturing_information","gdp_goods_producing_industries","gdp_services_providing_industries","party_governer","party_prop_representative","party_prop_senator","median_household_income","population","number_photovoltaic_shipments"
"Maine",2017,15.376438538579,42,2223059,55,10,55,10,0,0,0,0,0,0,72,31221,53363,0,0,0,0,0,0,148038,577,148038,384730,0,91105,91105,3515,94619,21493,834691,638403,196288,6958,189330,10611,824080,716646,14349,1235,1838,54549,56411,22034,99756,22976,9822,33039,34546,45676,11130,43094,21936,117738,21278,64212,41027,107434,15251,6947,85236,26359,58877,61671.5,53274.8,849.8,329.6,520.2,28.9,0,28.9,NA,976.4,2260.9,5919.6,3116.9,391.8,145.3,24.8,528.9,230.1,427,33.7,109,979,90.4,157,2802.7,772.1,109,112.6,670.9,112.8,145.2,649.5,230.6,3387.4,4942.3,1382.8,93.6,57.9,8.3,550.1,120.6,21.9,262.7,267.8,1131.8,321.9,55,576.7,178.3,12806.3,3943.6,1366.9,288.1,2282.5,6.1,8862.7,8395.8,466.9,6462.8,3413.1,613.7,698.6,2100.8,1166.8,1882.8,1665.2,217.7,8368,1018.8,7349.2,2607.1,3117.1,943.4,681.6,3407,641.9,282.7,359.2,2765,928.4,1836.6,1350.9,8396.7,1990.1,566.7,5839.9,878.7,8329.6,2359.1,7051.5,9059.3,44215.5,1,0.333333333333333,0.5,55277,1335743,12241
"Michigan",2017,155.680678188093,37,1287282,1269,234,47787,8392,0,0,0,5.723,46518,8158,5193,15468,70181,102619,1.064,96451,338675,31597,5521,225919,1692,698809,2798055,0,85599,85599,22352,107951,47827,5630538,4446836,1183702,42136,1141566,61678,5568860,4957662,16941,16645,20785,266505,642934,188959,571389,175277,71430,249046,253360,410914,72604,373226,107720,680707,109681,408008,321531,611198,52667,17701,540830,184382,356448,501914.9,449204.8,3122.7,2573,549.8,1950.4,119,1679.5,151.8,9728.4,20626.7,94974.3,73805.7,953.8,1756.7,3097.9,7764.8,8856.2,2244.5,2698.6,39443.8,1187.7,2329.2,3472.5,21168.6,5725.2,269,163.9,1413,1343.6,1015.4,7165.4,4073.2,33876.7,29499.6,12933.9,3481.7,416.5,99.1,4473.4,536.7,406.8,2194.4,1325.4,12521.2,3186.2,573.5,6036.4,2725.1,85073.4,25123.1,9161.6,2369,13335.3,257.2,59950.3,52740.1,7210.2,67904.2,39740.8,4951.8,6783.6,28005.4,11672.7,16490.7,14993.2,1497.5,47533.6,4240.1,43293.5,18757.7,17924,4108.6,2503.1,18106.7,3683.9,2196.5,1487.4,14422.8,4153.3,10269.5,11353.1,52710.1,7746.7,1659.9,43303.5,5073.1,63376.3,22662.3,107495.5,120674.1,328530.7,1,0.64,0,54909,9976752,26963
"Minnesota",2017,91.277200436928,74,2726558,8987,1654,171550,30163,0,0,0,0,162563,28509,1075,11587,121517,0,0,0,145426,0,0,363504,6247,508930,1862210,0,56284,56284,14153,70437,102608,3735455,2992362,743093,60001,683092,74266,3661189,3234288,14181,10256,12915,178470,335621,142013,365587,137011,59341,215503,146814,239130,83656,170632,94298,502148,91729,240139,194844,426901,32304,19736,374861,94571,280290,353416.4,319226.4,5655.3,5223.2,432,2395.9,27.2,2359.5,9.3,5283.7,14133.5,49524.6,31364,1286.8,1301.1,673.8,4322.7,4598.4,9273.4,1342.3,840.8,1731.7,881.7,5111.2,18160.6,6032.7,363.7,142.1,1572.9,2157.7,3350.4,2938.7,1602.5,25831.7,19089.6,11273.1,3222.5,1160.6,341.8,3154.4,850.8,331.5,1482.8,728.7,12024.5,4940,296.2,4655.1,2133.1,69697.3,30190.6,12991.2,3923.5,12728.3,547.6,39506.6,37534.5,1972.1,46935.9,24541.4,3860.6,5595.5,15085.3,13264.8,9129.7,8260.5,869.2,37553.5,3799.7,33753.9,15718,10457.7,4449,3129.1,12300.7,3491.5,2136.9,1354.6,8809.1,1985,6824.2,7527.2,34190,4132.2,1402.4,28655.3,8051.2,44921.3,16556.8,61549.1,71709.3,247517.1,0,0.363636363636364,0,68388,5569283,312328
"Missouri",2017,124.505227516295,316,4957942,22091,4066,61025,10894,5321,21.776,244,5.723,38934,6828,352,10886,32395,1,1.01,1,86853,664,116,116838,2433,209676,1742207,0,19183,19183,4235,23417,18724,3735898,2951183,784715,87225,697490,94433,3641465,3168972,13623,8810,12214,194394,280357,130806,385959,135680,57406,194539,159890,225153,68825,206502,85008,450316,74134,280066,205290,472493,58400,35608,378485,104922,273563,305471.4,268779.4,3416.9,3029.4,387.5,886.2,2.5,859,24.7,5342.7,11554.5,37106.2,19729.4,621.8,898.7,733.3,2872.3,2831.7,2211.3,1674.2,4128.1,2136,453.8,1168.3,17376.8,6710,142.5,149.3,1147.9,1213.6,694.1,5834,1485.4,20745.3,18150.7,10529.7,1378,1791,96.9,3915.6,487.7,85.5,1775,1000.1,11313.5,1769.7,316,5732.8,3495.1,57992.6,24089.1,9277,4998.8,9725.9,87.4,33903.5,29719,4184.6,40108,21696.7,4324.3,5319.6,12052.8,9170.8,9240.5,8518.3,722.2,31891.5,4121.8,27769.7,11312.1,11104.8,2901.4,2451.3,12574.4,3547,2264.7,1282.3,9027.4,1976.7,7050.7,7167.1,36692,7449.5,2553.1,26689.4,4303.2,38896,15872.4,48419.7,52963.9,215815.5,1,0.75,0.666666666666667,53578,6111382,28497
"Mississippi",2017,60.4628952742097,379,2686540,6733,1239,13572,2439,32019,12.298,2604,5.723,6839,1199,958,0,1861,39719,1.033,38438,77027,101772,17783,71032,903,321569,1068298,7511,53355,45845,2243,55599,0,1589961,1215060,374901,30155,344746,39772,1550189,1277610,14680,12936,8423,82926,150088,39212,173131,63500,15032,56787,52965,57413,12827,101812,25230,159809,19989,136821,94029,272579,25346,27507,219726,65554,154172,109431.1,90069.9,2634.8,2076.1,558.6,720.7,359.5,116.4,244.7,3141.7,4147.7,17466.7,10276.4,1109.9,423.1,642.7,842.5,1418.3,135.8,856,2154.1,1469.7,1050.8,173.5,7190.2,1667,340.4,90.6,606.5,149.7,2332.5,1223.2,780.2,5777.3,8573,3907.5,72,376.6,181.9,1636.8,68.7,196.4,631,744,2337.3,279.6,62.5,1816.3,178.9,16617.9,5232,2777,204.3,2224.3,26.4,11385.9,10226.2,1159.7,7809.9,3537.1,989.9,514.4,2032.9,1313.5,2959.3,2669.7,289.6,9414.3,848.3,8566,4705.5,2115.7,973.3,771.5,4965.9,549.9,119.9,429.9,4416,1661.6,2754.4,2555.3,19361.2,3511.3,1908,13941.9,3355.4,14350.3,7049.2,19804,24969.8,65100.2,1,0.714285714285714,1,43529,2990674,NA
"Montana",2017,31.2508117120303,93,1091494,2,0,2,0,624772,17.733,35232,5.723,0,0,337,100850,121314,50821,1.097,46311,0,118586,20721,136249,275,930429,422863,0,14543,14543,389,14933,19852,674336,488849,185487,22985,162502,30459,643877,547764,8021,11925,3010,46926,24642,19189,75524,20270,8484,25327,37609,38404,2589,25285,9011,76924,20649,59030,34945,96113,13210,7822,75081,27124,47957,47946.9,40654.6,1399.3,1126.5,272.8,1893.6,290.8,1423.8,178.9,1094.8,2759.4,2883.1,1173.4,374.4,193.9,20.4,192.5,94.7,63.7,16.6,28.4,14.7,33.8,140.3,1709.6,318.1,7.7,4.7,2.8,82.7,1154.8,112.6,26.3,2642.4,3111.7,2115.2,169.3,950.2,1,532.4,60.1,108.2,280.4,13.5,1133.9,216.3,94.5,703.3,119.8,9215.3,2373.4,1313.7,213.2,842.7,3.8,6841.9,6228.9,613,3636.4,2395.6,417,470.5,1508.1,222,1018.8,893.3,125.5,5258.9,266.4,4992.5,1939.9,2257.3,491.1,304.2,2452,617.6,172.6,445,1834.4,658.8,1175.6,1058.7,7292.3,1690.8,492.9,5108.6,3292.9,5754.1,3210,4017,8935.3,31719.2,0,1,0.5,53386,1053862,NA
"North Carolina",2017,121.149374853488,149,235434075,222,41,222,41,0,0,0,0,0,0,967,35175,89578,0,0,0,443192,0,0,215578,49099,658771,2575147,17708,115730,98021,10048,125778,4337,5922721,4658264,1264457,39062,1225395,62644,5860077,4999090,25293,7804,15071,341129,490977,201904,607805,192199,95251,265158,262721,366593,88605,408356,141916,571527,132724,454192,329865,860987,72412,130176,658399,211542,446857,541040.7,468850.9,5147.4,4270.2,877.2,495.7,4.1,460.6,31,7975.7,20133.8,97769.7,42549.3,1824.6,1918.4,838,4035.4,5303.8,10767.4,3800.2,3622,6392.9,2304.8,1741.6,55220.5,19359.4,2522.4,282.9,2021.1,1087.6,306.1,25949.6,3691.3,31786.1,27905.8,12530.3,3262.9,388.8,15.6,4258.7,435.2,80.6,2510.4,1578,19505.6,6361.1,401.2,8440.6,4302.8,107053.2,46044.6,29857.7,5427.9,10617,141.9,61008.6,56501.3,4507.4,64038.2,33509.9,3964.5,7651.8,21893.6,13006.3,17522,16339,1182.9,43201,7114.4,36086.6,19306.5,10113.4,3745.9,2920.9,20566,4784.7,3032.3,1752.4,15781.3,3219,12562.2,10742.4,72189.9,10366.7,11426.3,50396.8,5643.1,59691.9,20506,117275.4,123546.6,345304.2,0,0.76,1,52752,10275758,791424
"North Dakota",2017,56.92163503453,19,477713,10389,1912,79984,14117,394022,13.687,28788,5.723,69595,12205,978,23789,129426,857330,1.443,593998,0,2235455,390609,212086,7,3698893,633995,0,839,839,1837,2676,104653,573075,447469,125606,23301,102305,28538,544537,456039,4931,24261,3884,36208,26451,25189,59438,23614,7374,27069,24454,22970,5736,18156,6458,66543,8549,37674,27080,88498,9426,11662,67410,24133,43277,52607.1,46562.2,2949.1,2773.1,176,5137.1,2281.1,477.9,2378.1,1405.8,3198.6,3733.4,2147.1,155.2,192.8,78.3,139.7,1145,137.1,10.6,78.7,127.2,38.4,44.1,1586.3,786.2,17.1,4.5,14.1,36.7,334.3,226,167.4,4530.3,2956.8,2653.5,51.6,634.5,17.7,1282.2,69.9,279.6,287.5,30.5,1384.5,575.3,24.6,675.6,109,8673.8,2501.7,1177.5,170.4,1145.1,8.7,6172.1,5012.9,1159.2,3198,1743.1,223.1,281.2,1238.8,593,862,765.2,96.8,4437.1,173,4264.1,1668.6,1640.6,671.2,283.7,1333.7,162.1,49.6,112.5,1171.7,324.8,846.8,970.5,6044.9,559.6,826.2,4659.2,8086.2,7487.1,4059.3,5117.8,15018.2,31544,1,1,0.666666666666667,61843,756755,NA
"Nebraska",2017,47.8776206411917,263,3743400,6295,1159,290063,50924,0,0,0,5.723,283769,49765,1212,13719,61990,483,1.061,455,72300,11978,2093,355970,220,440731,873303,0,2330,2330,1587,3917,46840,1317550,1040705,276845,38571,238274,54166,1263384,1087919,11220,3169,1283,75012,101859,43846,136117,63644,20833,83459,49491,64566,22485,65406,24218,144681,25483,83309,67838,175465,16861,12602,146002,34156,111846,120949.7,105692.4,5528,5198.3,329.7,178.3,7.3,153.3,17.7,3434.6,3291.1,12676.5,5573.2,164.5,317.1,188.2,787.4,1171.2,489.4,266.1,607,114.2,124.5,1343.3,7103.4,4244.2,46.7,47.9,134.8,220.6,8.9,1896.5,503.8,7367.8,6395,9614.6,178.8,3864.7,0.1,2556.4,91.2,2060.9,540.2,322.2,3810.1,847.5,44.6,1610.5,1307.6,26586.7,14868.2,2945.7,857.6,11040.6,24.3,11718.4,10888.7,829.8,11238.4,5142.5,963.3,1390.2,2789,2891.3,3204.5,2925.2,279.3,9857.2,996.7,8860.6,4054.5,2841.4,1219.2,745.5,3318.3,656.7,289.1,367.6,2661.6,448.4,2213.2,2395.7,15257.4,1893.6,965.1,12398.6,5706.3,13762.8,13049.2,16486.7,21673.9,84018.5,1,1,1,59970,1916998,NA
"New Hampshire",2017,13.5118107350509,39,1307930,245,45,245,45,0,0,0,0,0,0,29,13022,17718,0,0,0,104493,0,0,59871,875,164364,317785,0,37268,37268,4640,41908,3792,882286,682349,199937,3871,196066,5215,877071,783055,2993,1533,2322,53398,74296,30947,113341,19986,15435,42433,40219,63707,9693,47802,31709,101910,23134,64571,43626,94016,7628,4554,81834,25104,56730,80838.4,72165.6,218.4,118.5,100,58.5,0,49.8,8.7,1307.7,2540.3,9218.8,7098.6,183.8,290.8,231.2,1421.5,931.5,2316.7,811.6,123.6,180.5,58.9,548.5,2120.2,594.8,157.5,70.6,90.8,219.8,97.9,416.9,472,5348.3,5350.2,1173.2,131.4,5.1,7.6,337.4,183.9,1.7,321.3,184.9,3123.3,1385.2,103.1,1171.8,463.1,18089.9,6514,1145.7,1520.2,3838.4,9.6,11576,10866.5,709.5,10488.2,6322.7,743.9,1954.1,3624.7,1329.4,2836,2539.4,296.6,9390.1,1897.5,7492.6,3691,2611.7,701.3,488.6,4120.5,1159.1,361.7,797.4,2961.4,1061.8,1899.6,1738,8672.8,1338.6,925.2,6409,276.9,10698.5,2481,12342.1,12036.1,60129.5,1,0,0,73381,1350395,6158
"New Jersey",2017,99.3521003797955,48,881961,191,35,191,35,0,0,0,0,0,0,466,126,26428,0,0,0,355948,0,0,45602,25630,401550,2089145,0,3044,3044,15938,18982,207,5448478,4174679,1273799,8806,1264993,19305,5429173,4817582,6839,3823,15493,249296,261120,239386,548676,283932,89816,340475,332226,459362,91827,350750,136814,651851,124719,342331,288846,611591,49420,25149,537022,140088,396934,590696.6,528403.3,863,573.9,289.1,306.2,19.6,249.1,37.5,9413,22837.9,49261.1,17062.6,193.9,1461.5,539.1,2052.2,1874.9,4415.7,1076.7,247.4,449.7,452.5,4299,32198.5,4326.9,337.7,301.2,1179.8,1462.2,3002.4,19991.3,1597.1,48127,34270.6,21822.3,5855.7,249.9,522.6,4611.6,2114.4,159.1,5146.1,3162.8,24234.8,6209.2,1188,11704.2,5133.4,133731,39280.1,9993.6,10999,18082.4,205,94451,88092.5,6358.5,96850.9,55428.1,7654.3,12115,35658.8,18354.3,23068.5,21090,1978.5,55122.3,7541.1,47581.2,24762.5,14477.5,4719.2,3622,20024.8,5896.6,3114.8,2781.8,14128.2,4262.1,9866.1,11538.4,62293.3,7049,2443.9,52800.4,1169.2,82397.6,31235.3,73495.8,73268.2,455135,1,0.3,0,80088,8888147,450493
"New Mexico",2017,49.6203034647508,47,5893114,0,0,0,0,257710,18.616,13844,5.723,0,0,487,1780,57673,1506770,1.159,1299732,0,986514,172377,67408,13076,2818402,684366,0,9312,9312,423,9735,42330,1095372,862577,232795,21410,211385,28930,1066442,860376,6004,31208,4623,62068,32562,24989,111466,28058,15491,35674,40499,79918,6144,56394,16808,134790,25154,93512,55014,206066,29279,17319,159468,57453,102015,94456.7,71751,1431.4,1258.9,172.5,8094.3,5169.5,1622,1302.8,1623.4,3528,3837.3,1842.5,61.2,282.3,35.8,154.7,126.3,852.3,63,15,92.2,25.1,134.6,1994.8,654.3,8,5.5,104.7,58.4,801.1,247.1,115.8,3154.2,5450.2,2466.3,265.8,738.1,8,839.3,116.6,52.4,358.5,87.7,2528.6,297,644.6,1445.8,141.3,15583.3,3165.2,1236.6,326.9,1592.7,8.9,12418.1,11676.8,741.3,10128.3,7055.9,657.2,600.3,5798.3,527,2545.5,2179.3,366.2,7953.6,568.6,7385,3761.1,2106.8,589.6,927.4,3909,675.3,305.2,370.1,3233.7,757.5,2476.2,2063.1,22705.7,7163.1,3698.1,11844.5,9525.7,8604.4,4089.7,6365.9,16890.9,54860.1,1,0.25,0,46744,2092844,53993
"Nevada",2017,40.2069659546339,33,311016629,0,0,0,0,0,0,0,5.723,0,0,31876,16700,94965,3,1.039,3,0,1637,286,98128,43060,99768,757955,0,2320,2320,843,3163,3329,1779792,1373186,406606,3002,403604,5434,1774358,1597614,1806,19626,4407,101021,54006,41333,178362,100771,20622,85037,103967,98136,30563,127951,17782,141481,55862,329179,85702,176744,19202,18099,139443,36575,102868,158502.8,141060.1,291.2,251.2,40,4183.5,2.4,3982.2,198.9,2345.6,7789.3,6737.1,4823.7,105,517.3,135.5,586.5,200.2,469.1,445.7,57.4,149,100.3,2057.8,1913.4,645.3,50.5,5.3,91.7,317.4,133.9,365.6,303.6,6939.9,10905.4,7331.6,2952.4,211,7,933.7,1075.3,7.7,1144.7,999.9,4240.1,649.4,412.9,2302.6,875.3,32379.1,8507.4,4517.5,478.9,3400.7,110.2,23871.8,21120.2,2751.6,17403.2,7803.1,1663.1,1002.3,5137.7,4249,5351.2,4926.4,424.7,10730.8,819.3,9911.5,5596.3,3031.3,641.8,642.1,26920.7,4609.5,2314.5,2295,22311.2,16372.4,5938.9,2862.6,17442.7,2458.9,1403.8,13580,4474.7,17845.2,9677.2,10977.2,19001.1,122059.1,1,0.285714285714286,0.333333333333333,58003,2972097,138782
"New York",2017,165.830175157679,52,789556,0,0,21022,3687,0,0,0,5.723,21022,3687,1185,277725,330933,11760,1.032,11395,441029,1105,193,447680,13919,901574,3776092,0,60164,60164,35562,95725,38105,12389041,9625594,2763447,30627,2732820,52735,12336306,10877974,14646,14130,40919,547400,481532,375836,1102272,473489,314829,906882,697038,1005511,165735,627524,491641,1716112,368227,846652,687599,1458332,116504,55511,1286317,243488,1042829,1608890.2,1446575.9,2792.9,2376.8,416.1,827.5,79,704.9,43.6,22086.4,49363,69863,34954.4,666.1,3151.2,1229.4,5231.9,5992.4,10178.6,1356.5,1403.3,1412.8,921.3,3411,34908.5,11077.6,697.2,1488.3,1959.9,2026.3,750.9,13446.7,3461.7,71663.4,71640.8,32730.4,9307.8,465.8,707.8,4276.4,10208.2,550.4,5713.3,1500.6,123555.6,22863.3,18670.9,58335.1,23686.3,540375.9,316819.4,149899.9,108326.6,56226.8,2366.2,223556.5,210491.1,13065.3,209725.6,140512.1,40588.4,19593.6,80330.1,28335.6,40877.9,37870.4,3007.5,149217.5,34515.2,114702.4,47730.1,41032.2,12502.6,13437.5,71954.2,26827,21875,4951.9,45127.3,12267,32860.3,30779.6,162314.3,19001,5347.2,137966.1,3620.4,143304.2,54816.8,193418.6,122846.4,1323729.5,0,0.294117647058824,0,64894,19593849,303009
"Ohio",2017,205.060888729676,118,10274821,9117,1678,92214,16251,233560,24.614,9489,5.723,83098,14573,3435,2555,23060,2009410,1.122,1791359,184997,114517,20010,167037,2435,2709522,3616508,0,36933,36933,14829,51762,14635,6988155,5623037,1365118,70612,1294506,87394,6900761,6093631,14874,28837,20096,343832,716484,254898,695631,272342,88486,346741,277148,393568,149287,420369,149689,897067,143233,514798,366251,807130,78492,35457,693181,178041,515140,642351.4,571947.6,3493,2988.4,504.6,9861.3,8273.9,877.7,709.7,10477.7,24814.4,104621.4,59970.3,1104.5,3515.2,5870.2,11052.8,9336.5,2302.6,4533.2,11585.7,7270.5,1109.5,2289.9,44651,11764.7,324,159.5,2067.8,2062.3,5947.3,16689.8,5635.6,40424.1,37870.4,19998.5,2343.4,1453.9,113.2,7563.8,645.2,1261.8,3824.6,2792.6,16735.6,5182.9,497,8396.3,2659.4,129091.3,58913.2,27399.5,4137.3,27163.9,212.4,70178.1,63754.7,6423.3,74531.3,33565.1,5641.3,7691.2,20232.6,21051.7,19914.5,17632.6,2281.9,62672.3,6046.1,56626.3,24782.6,21219.2,6637.4,3987,23899.7,7356.2,3285.5,4070.7,16543.5,2314.2,14229.3,13456.6,70403.8,11388.3,4022.2,54993.3,13354.3,78294.6,30476.3,121357,142790.1,429157.6,1,0.75,0.5,54021,11665706,25015
"Oklahoma",2017,93.4451662677156,41,2449186,4644,855,4644,855,12590,22.428,561,5.723,0,0,24,18760,236582,2936597,1.168,2513896,0,949291,165873,274848,382,4173327,1647508,0,28016,28016,5606,33622,217416,2290660,1695030,595630,71760,523870,78796,2211864,1842632,9533,122697,11066,129054,139846,63951,229060,74435,26201,102970,86852,112066,22136,135187,31375,219965,35056,164681,126501,369232,48606,33549,287077,80921,206156,185485.6,155604.6,2777.2,2518.8,258.5,20620,17119.8,375.8,3124.3,3885.1,6946.6,16764.5,9954.1,281,1116.3,323.1,2219.2,2847.5,607.1,346.8,646.6,1197.9,126.7,242,6810.3,2055.8,51.2,32.9,700.1,146.6,1978.8,790.9,1054,9611.7,10690.7,11874.7,1059.7,832.7,0.1,2103.7,62.6,6280.2,911,624.8,5196.9,981.9,116.4,3579.2,519.4,25724.4,7790.5,3374.9,636.3,3597.7,181.7,17933.9,15715.9,2218,15970.6,7894.7,1683.5,1002.3,5208.9,2289.8,5786.1,5427.5,358.5,14878.9,1165.1,13713.7,6887.7,4459.9,1305.7,1060.4,6675.7,1277.6,564.8,712.8,5398,844.7,4553.4,3987.5,29881,5960.2,2533.2,21387.6,23397.2,20302.4,15759.9,21961.4,47108.4,108496.3,1,1,1,50051,3933602,NA
"Oregon",2017,38.7903833130906,129,137275588,1481,273,7011,1242,0,0,0,0,5530,970,2839,352802,417834,700,1.062,659,0,0,0,501442,4827,502142,1041344,0,70785,70785,5813,76598,57366,2516074,1949098,566976,35427,531549,66223,2449851,2159689,32393,6026,4989,133309,207377,83852,259928,87583,43095,96125,116815,166111,49299,131893,59152,293194,64374,196947,127227,290162,28264,11632,250266,39444,210822,227042.2,198028.3,3894.8,2267.9,1626.9,270.1,0.6,259.6,9.9,2938.9,10080.9,31295.9,25144.9,2306.9,657.9,1406.3,1528.1,1835.7,14433.4,520.2,561.6,781.5,453.1,660.2,6151,3219.4,64.3,100,752.9,415.4,276.9,839.7,482.4,12353.7,11607.6,6423.2,1449.3,409.6,88.5,2036.6,554.9,25.8,1338.5,520.1,8397.6,3920,583.3,2145.2,1749.2,47181.6,10225.6,4084.3,1126,5009.1,6.1,36956,33626.3,3329.8,27139.2,13244.4,1912.9,2783.8,8547.7,7584.1,6310.7,5632.6,678.1,21679.8,2042.7,19637.1,9549.8,6030.1,2149.9,1907.3,9878.6,2091.4,1193.2,898.2,7787.3,1977.3,5810,4886.3,29013.9,4348.6,605.5,24059.8,4164.9,23961.2,9362.2,39693.6,45541.6,152486.7,0,0.2,0,60212,4147294,173838
"Pennsylvania",2017,215.286848876773,53,2661655,5515,1015,18741,3335,1260516,25.656,49131,5.723,13227,2320,2162,28775,68701,5769945,1.058,5453638,870187,37554,6562,204952,4684,8143154,3766880,0,76403,76403,41107,117510,33080,7663502,6147744,1515758,48971,1466787,75298,7588204,6814205,18729,47306,25273,387502,593731,239096,767735,349572,101514,404456,309029,520539,144738,397337,306531,1099543,173195,508995,419384,773999,97359,35350,641290,191833,449457,745140.8,672408.2,3510.2,2831.7,678.4,15915.8,11251,3106.6,1558.2,12356.4,31965.3,85857.6,41751.1,1877.8,3185.1,4980.9,7555.6,5499.1,5429.5,3616.2,1840.1,2991.8,1330.2,3444.7,44106.5,10358.6,461.2,243.9,3901.7,2350,5642.9,16500.2,4648,42930.8,37119.3,27567.6,3167.9,1198.1,97.7,7142.4,1860.7,5746.6,3315.9,5038.4,45021.4,5380.2,1191.1,34984.9,3465.2,138658.6,48038,13504.6,7802.8,26451.2,279.5,90620.6,82692.8,7927.8,98098.5,55311.1,12155.4,10261.7,32894,23461.2,19326.2,17102.4,2223.7,90788.8,18292.3,72496.5,32408.3,24290.6,8986.8,6810.7,26411.6,8616.7,5246.1,3370.6,17794.9,3896.5,13898.4,16206.1,72732.5,14332,3006.7,55393.8,19426,80050.1,39924.1,130879,137248.9,535159.3,0,0.558823529411765,0.5,59105,12794679,70445
"Rhode Island",2017,9.96527535067797,12,547069,156,29,156,29,0,0,0,0,0,0,57,22,2129,0,0,0,0,0,0,5967,679,5967,182325,0,1645,1645,2037,3682,1372,637946,506508,131438,885,130553,1379,636567,564524,NA,NA,1510,NA,42753,18270,57633,17865,7948,37948,29691,42256,14353,36790,32149,88836,17596,52072,33717,72043,10906,6848,54289,21672,32617,58117.2,50185.9,111.2,44.8,66.4,42.7,0,42.7,0,867.8,2246,4888.7,3213.4,61.5,70.1,163.2,305.5,302.5,527.2,189,26.4,750,75,742.9,1675.3,250.3,177.3,6.3,85.8,126.2,54.4,682.6,292.4,3256.2,3132.4,930.7,154.3,1,34.3,260.6,152.1,4.6,248,75.8,1405.1,345.5,67.9,796.7,195,13834.5,5677.2,1716.4,1239.2,2712.4,9.2,8157.3,7737.8,419.5,7526.7,3488.6,710.1,907.5,1871,2237,1801.1,1579.9,221.2,7812.4,1919,5893.4,2327.4,2210.6,903.9,451.4,2885.6,712.4,287.2,425.2,2173.2,453.2,1720,1245.7,7931.3,1698.2,1026.7,5206.4,153.8,6388.7,1798.6,6293.9,7288.6,42897.3,0,0,0,63870,1056554,27412
