"State","Year","CO2 Emissions (Mmt)","TotalNumberofInvestments","TotalAmountofAssistance","BDFDB","BDPRP","BFFDB","BFPRP","CLPRB","CLPRK","CLPRP","COPRK","EMFDB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NGMPK","NGMPP","NUETB","PAPRB","PAPRP","REPRB","SOTCB","TEPRB","TETCB","WDEXB","WDPRB","WDTCB","WSTCB","WWPRB","WYTCB","Total employment (number of jobs)","Wage and salary employment","Proprietors employment","Farm proprietors employment","Nonfarm proprietors employment 2/","Farm employment","Nonfarm employment","Private nonfarm employment","Forestry, fishing, and related activities.x","Mining, quarrying, and oil and gas extraction.x","Utilities.x","Construction.x","Manufacturing.x","Wholesale trade.x","Retail trade.x","Transportation and warehousing.x","Information.x","Finance and insurance.x","Real estate and rental and leasing.x","Professional, scientific, and technical services.x","Management of companies and enterprises.x","Administrative and support and waste management and remediation services.x","Educational services.x","Health care and social assistance.x","Arts, entertainment, and recreation.x","Accommodation and food services.x","Other services (except government and government enterprises).x","Government and government enterprises.x","Federal civilian.x","Military.x","State and local.x","State government","Local government","All industry total","Private industries","Agriculture, forestry, fishing and hunting","Farms","Forestry, fishing, and related activities.y","Mining, quarrying, and oil and gas extraction.y","Oil and gas extraction","Mining (except oil and gas)","Support activities for mining","Utilities.y","Construction.y","Manufacturing.y","Durable goods manufacturing","Wood product manufacturing","Nonmetallic mineral product manufacturing","Primary metal manufacturing","Fabricated metal product manufacturing","Machinery manufacturing","Computer and electronic product manufacturing","Electrical equipment, appliance, and component manufacturing","Motor vehicles, bodies and trailers, and parts manufacturing","Other transportation equipment manufacturing","Furniture and related product manufacturing","Miscellaneous manufacturing","Nondurable goods manufacturing","Food and beverage and tobacco product manufacturing","Textile mills and textile product mills","Apparel, leather, and allied product manufacturing","Paper manufacturing","Printing and related support activities","Petroleum and coal products manufacturing","Chemical manufacturing","Plastics and rubber products manufacturing","Wholesale trade.y","Retail trade.y","Transportation and warehousing.y","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Information.y","Publishing industries (except Internet)","Motion picture and sound recording industries","Broadcasting (except Internet) and telecommunications","Data processing, hosting, and other information services","Finance, insurance, real estate, rental, and leasing","Finance and insurance.y","Monetary Authorities- central bank, credit intermediation, and related services","Securities, commodity contracts, and other financial investments and related activities","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Real estate and rental and leasing.y","Real estate","Rental and leasing services and lessors of nonfinancial intangible assets","Professional and business services","Professional, scientific, and technical services.y","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises.y","Administrative and support and waste management and remediation services.y","Administrative and support services","Waste management and remediation services","Educational services, health care, and social assistance","Educational services.y","Health care and social assistance.y","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation.y","Performing arts, spectator sports, museums, and related activities","Amusement, gambling, and recreation industries","Accommodation and food services.y","Accommodation","Food services and drinking places","Other services (except government and government enterprises).y","Government and government enterprises.y","Federal civilian.y","Military.y","State and local.y","Natural resources and mining","Trade","Transportation and utilities","Manufacturing and information","Private goods-producing industries 2/","Private services-providing industries 3/","Region","Party","Representative","Senator"
"Indiana",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3634815,3030533,604282,52119,552163,63600,3571215,3130272,7907,9253,15090,219527,581791,131504,408949,141862,47880,134073,118977,146846,27597,198862,67645,350016,67762,245197,209534,440943,36464,20547,383932,111629,272303,243862.2,219854.1,2127.9,1825.3,302.6,909.7,23.9,870.2,15.6,4350.4,11300.7,69025.2,43768.7,1169,1320.8,5447.5,5354.4,4464.4,2294.5,1021.1,13618.6,1591.6,1782.7,5704.1,25256.5,3393.6,140.5,96.1,879.8,1273.3,2824.2,13762.3,2886.7,13396.1,15623.4,8476.6,522,759.6,175.3,4145.6,300.5,93.2,1314.7,1165.7,5901.6,1612.4,315.7,3622.6,351,36829.5,13618.4,4478.6,919.1,8131,89.7,23211.1,21338.2,1872.9,17654.7,8601.9,1771.7,1164.7,5665.5,2761,6291.8,5605.2,686.6,19493.8,2195.6,17298.2,8280,5612.9,2098.8,1306.6,8499.2,2986,1187.6,1798.3,5513.3,854.8,4658.5,6265.1,24008.2,3471.9,1261.4,19274.9,3037.6,29019.6,12827.1,74926.8,83363.5,136490.6,"North Central",NA,0.727272727272727,0.5
"Indiana",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3674399,3055171,619228,51048,568180,64241,3610158,3166220,7971,9668,15252,222505,576394,133620,406616,145924,47709,134647,123794,150405,28181,204482,70543,359247,67888,249695,211679,443938,36727,20566,386645,111562,275083,255462.9,227175.3,2404.5,2010.3,394.2,1052.6,30.9,1009.6,12.2,4906.6,11508.6,69061.7,43257.5,955.5,1315.5,4322.4,5601.6,4645.8,2542.1,1206.9,14098.8,1739.9,1805.5,5023.4,25804.2,3702.1,147.4,103.9,972.3,1389.3,2139.6,14224,3125.5,14194.5,15925.8,9422.4,563.8,879.2,315.4,4488.7,331.8,107.7,1503.6,1232.1,5954.4,1433.3,334.3,3820.6,366.1,37752.5,14260.2,4427.7,1035.3,8706.8,90.3,23492.3,21442.4,2049.9,18802.7,9201.5,1886.5,1265.8,6049.1,2925.5,6675.8,5998.5,677.3,20812.7,2418.4,18394.3,8753.1,6067.5,2243.5,1330.3,8894.8,3013.9,1228,1785.9,5880.9,1038.7,4842.2,6481.6,28287.6,3619.4,1253.3,23414.8,3457.1,30120.3,14328.9,75016.1,84027.5,143147.9,"North Central",NA,0.727272727272727,0.5
"Indiana",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3720040,3069549,650491,52363,598128,64081,3655959,3205009,8629,10032,15374,223826,562095,135605,404221,149479,48677,139618,127971,158371,29938,209667,72391,371186,69567,252911,215451,450950,37001,20705,393244,114440,278804,269071.3,243293.7,3110.6,2769.8,340.7,1174.4,41.4,1116.9,16.1,4711.1,12199.5,79638.3,48060.7,898.5,1305,8450,5884.6,5059.6,2340.5,1147.6,14354.1,2021.8,1621.9,4977,31577.6,4309.6,137.9,120.6,848.9,1432.7,3417.4,18442.7,2867.8,14771.4,15702.6,9233.1,550.8,857.3,348.9,4425.2,325.8,109.5,1417.3,1198.4,6261.3,1650.5,337.6,4009.6,263.6,39637.3,15707.3,4103.5,924,10553.9,126,23930,21810.9,2119,19964,9913.7,2060.6,1448,6405,3051,6999.3,6248.1,751.1,21425.2,2481.3,18943.9,8926.3,6268.6,2332.5,1416.5,9016.2,3082.9,1313,1769.9,5933.3,1014.6,4918.7,6448.9,25777.6,3779.8,1308.1,20689.7,4285,30474,13944.1,85899.6,96122.7,147171,"North Central",NA,0.384615384615385,0.5
"Indiana",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3682931,3035772,647159,52258,594901,61520,3621411,3160926,8701,11067,15694,214617,532997,134314,391778,145892,47948,143039,126450,160497,31656,203499,75165,380049,70949,253585,213029,460485,38023,21836,400626,117454,283172,273140.1,246057.3,4005.1,3686.1,319,1231.7,61.1,1144.7,25.9,5056.4,11493.4,79413.7,43391.9,806.1,1187.8,9028.8,5256.9,5472.5,2301.7,1280.8,10051.5,1888.8,1328.6,4788.4,36021.8,4467,163.3,135.1,778.6,1478.4,2746.8,23920.8,2331.8,15471,15618.3,9551.6,527.5,1020.2,396.5,4408.2,335.9,152.8,1451.9,1258.6,6567.2,1664.8,345.1,4207.1,350.3,37225.3,12071.2,4014,503.4,7438.2,115.6,25154.1,22907.8,2246.3,21570.7,11182.6,2429.7,1626.7,7126.2,3124.8,7263.4,6422.4,840.9,23246.7,2741.1,20505.5,9667.6,6823.3,2535.8,1478.9,9195.8,3155.6,1289.6,1865.9,6040.3,1032,5008.3,6410.3,27082.8,3876,1442.7,21764,5236.8,31089.3,14608,85981,96143.9,149913.4,"North Central",NA,0.384615384615385,0.5
"Indiana",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3523018,2867328,655690,52683,603007,63135,3459883,2998138,8644,10770,15743,188285,456039,124630,376685,138358,45574,146262,124148,155688,29834,187701,75720,388294,70268,246020,209475,461745,39177,22353,400215,118183,282032,261500.2,233761,3096.3,2829.2,267,1359.2,42.1,1296.5,20.6,5569.6,9828.9,68930.6,31909.5,671.2,1101.5,4206.6,4125.7,4360,2488.2,972.2,4883.8,1853.4,1162.8,6084.2,37021.1,4786.8,136.8,125.6,899.9,1381.1,2714.1,24525.1,2451.6,14421.5,15567.2,8760.2,541.6,943.6,292.5,3890.2,348,149.2,1295.5,1299.7,6366.5,1621.9,396.4,3993.7,354.5,39668.8,13466.6,3732.7,955.4,8531,247.6,26202.1,24147,2055.2,20322.4,10663.8,2189.5,1725.7,6748.5,2930.1,6728.5,5934,794.5,24496.7,3066.6,21430.1,9947.7,7322.8,2666.8,1492.9,9126.4,3180.4,1336.7,1843.7,5946,944.9,5001.1,6246.9,27739.2,4001.5,1535.7,22202,4455.4,29988.7,14329.8,75297.1,83214.9,150546.1,"North Central",NA,0.461538461538462,0.5
"Indiana",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3525335,2874680,650655,53288,597367,67194,3458141,2999962,8711,11890,15385,179024,460751,122655,369457,138404,43888,142854,126756,155892,29291,201581,77917,394912,69694,243957,206943,458179,42266,22188,393725,117424,276301,280497,252508.8,3233.6,2908.3,325.3,1519.8,48.1,1447.8,23.8,6185.8,9475.5,81530.1,45010,622.8,1105.2,7343.6,4779,4850.7,2273.6,967.7,13141.4,1786.5,1220,6919.4,36520.1,4480.7,161.2,182.1,888.3,1373,3336.6,23563.4,2534.9,15434.5,15997.6,9250.2,597.1,973.3,268.3,4071.6,380.3,217.7,1437.6,1304.2,6258,1601.9,358.5,3889.7,407.9,40843.5,13632.2,3733.8,982.8,8684.8,230.8,27211.3,25246.1,1965.1,21707.3,11101.9,2090.7,1891.9,7119.4,3096.8,7508.6,6504.5,1004.2,25337.9,3206.3,22131.6,10377.8,7529.2,2737.7,1486.9,9399.7,3276.1,1375.5,1900.6,6123.6,985.9,5137.7,6335.1,27988.3,4299.7,1509.3,22179.3,4753.4,31432.1,15436,87788.1,95759,156749.7,"North Central",NA,0.461538461538462,0.5
"Indiana",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3590196,2916485,673711,53564,620147,64083,3526113,3074720,8815,11238,15007,183154,477820,124786,376224,143267,42506,148616,130973,156903,30334,212932,78934,399686,69674,250484,213367,451393,38361,22321,390711,118869,271842,288942.9,260862.5,4658.9,4387.3,271.5,1704.9,57.9,1616.7,30.3,6339.5,10328.9,82898.2,43937.4,602,1152.4,6553.1,5153.7,4814.6,2102,907.9,12792,2036.9,1248.9,6574,38960.8,4711.8,159.2,108.4,855.7,1364.8,5996.8,23162.9,2601.2,16364.7,16364.4,9584,590.5,1065.5,272.2,4309,407.3,206.3,1465.6,1267.6,6006.5,1586.7,324.9,3586.6,508.3,41594.1,13633,3822.4,919.7,8595.3,295.6,27961.1,26291.8,1669.2,23056.6,11797.4,2225.3,2202.1,7370,3283.9,7975.2,7049,926.2,26045.9,3302.1,22743.8,10756.2,7821.4,2760.1,1406.1,9570.8,3202,1258.1,1943.8,6368.9,1094.3,5274.6,6345.2,28080.4,4178.3,1430.4,22471.7,6363.7,32729.1,15923.5,88904.7,99590.8,161271.7,"North Central",NA,0.642857142857143,1
"Indiana",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3642334,2976626,665708,51174,614534,64931,3577403,3130545,9087,13612,14663,189687,495945,125085,378949,147398,43675,146164,128866,158313,31414,219041,79581,406836,70316,256716,215197,446858,37602,21601,387655,117953,269702,297816.1,269638.9,4087.7,3803.1,284.6,1676.2,67.8,1571.1,37.3,6342.5,11908.3,82294.3,45705.6,666.1,1212.2,7825.7,5726.6,5269.2,2457,888.4,13204.2,2019.2,1312.5,5124.5,36588.7,4462.2,172.9,89.7,913.9,1209.5,5459.4,21374.6,2906.6,17326.3,16806.3,10001.9,557.9,1136.5,207.8,4516.5,426.8,236.1,1559.1,1361.3,6277.3,1802.8,318.8,3570.3,585.4,44181.4,14620.1,4059.9,1232.6,9180.3,147.2,29561.3,27668.8,1892.5,24055.1,12175.2,2196.9,2407.6,7570.7,3484.9,8394.9,7430.8,964.1,27462.7,3435,24027.7,11344,8377.4,2855.9,1450.4,10540.6,3468.9,1287.9,2181,7071.6,1236.2,5835.4,6678.5,28177.2,4193.5,1330,22653.7,5763.8,34132.5,16344.5,88571.6,99966.4,169672.5,"North Central",NA,0.642857142857143,1
"Indiana",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3684125,3009962,674163,51475,622688,63849,3620276,3177255,9390,13818,14524,188483,507253,126236,384329,150415,43855,146474,130394,160915,33307,223765,81751,413251,70313,261804,216978,443021,37034,21468,384519,115746,268773,308725.4,280758.3,7285.2,6972.2,313,1723.7,67,1604.9,51.8,6563.3,11641.4,87692.4,47375,696.4,1472.8,8959.6,5846.2,6059.3,2534.2,929.8,13907.7,1864.1,1572.4,3532.6,40317.4,4707.6,176.7,121.5,915.8,1224.1,3634.9,26147.3,3389.4,17985.3,17387.8,10250.7,666.9,1226.2,250.5,4510.4,417.8,194.1,1588.8,1396,6678.6,1857.6,322.2,3868.1,630.6,42622.9,12460.7,3222.1,1411.6,7729.9,97.1,30162.2,28299.2,1863,25112.2,12620.9,2141.4,2753.6,7725.9,3816.9,8674.3,7707.7,966.7,28142.9,3457.5,24685.4,11873.1,8365.4,2921.7,1525.2,10849.5,3598.7,1505.9,2092.8,7250.9,1196.7,6054.1,6822.4,27967,4027.8,1287.8,22651.4,9008.9,35373.1,16814,94371,108342.7,172415.6,"North Central",NA,0.733333333333333,0.5
"Indiana",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3740428,3054029,686399,51151,635248,62684,3677744,3234428,10448,13673,14508,188097,521929,131526,387949,154160,44438,144541,135056,164609,35007,232416,83382,413252,70993,266560,221884,443316,36307,21202,385807,116310,269497,325008.3,294464,5391.3,4985.6,405.6,1659.6,61.6,1531.7,66.4,6834.4,11477.5,93197.9,49169.4,777.1,1530.6,8922.4,6140,5775.3,2255.6,727.2,15312,1831.2,1637.3,4260.8,44028.4,5711.9,214.2,112.6,969,1217.8,5983.9,26560.6,3258.7,18577,17780.9,10730.8,717.1,1354.1,231.6,4775.9,416.7,186.4,1641.3,1407.8,6556.5,1916,290.5,3733.9,616.1,48649.4,17955.5,3968.3,1263.5,12502.2,221.6,30693.9,28557.8,2136,26130.7,12878.8,2150.1,2643.9,8084.8,4003.2,9248.7,8207.6,1041.1,28864.4,3589.3,25275.1,12241.6,8325.2,3022.4,1685.9,11438.9,3695.1,1592.1,2103,7743.9,1389.3,6354.6,7174.7,30544.2,4199.5,1228.8,25115.8,7050.9,36357.9,17565.2,99754.4,111726.3,182737.8,"North Central",NA,0.733333333333333,0.5
"Iowa",2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1902198,1522116,380082,91481,288601,106748,1795450,1538705,10129,2756,8478,101938,245631,72837,231987,64024,40450,99479,44337,62875,7721,80922,36866,186147,31723,112138,98267,256745,18940,13932,223873,63190,160683,94973.4,83277.8,2973.2,2707.7,265.4,171.1,NA,169.8,1.3,2081.4,3733.9,20365.4,10780.2,661.3,738.7,438.4,1284.4,3517.5,928.6,1044.1,1083.6,123.2,641.1,319.3,9585.3,4444.8,44.4,109.1,633.4,499.1,119.6,2903.4,831.6,5226,6728,2982.2,23,562.2,44.5,1480.8,57.2,29.8,411.9,372.9,2817.2,697.3,115.5,1626.7,377.7,18502.6,8796,2948.7,327.2,5499.8,20.4,9706.5,8997.7,708.8,5179.7,2721.8,636.8,341.6,1743.4,531.2,1926.7,1775.9,150.8,7197.9,926.5,6271.4,2847.2,1707.6,1142.2,574.3,2909.8,755.7,193.3,562.4,2154.1,582.4,1571.7,2409.5,11695.6,1410.5,408.3,9876.8,3144.3,11954,5063.6,23182.6,27243.6,56034.2,"North Central",NA,0.8,0.666666666666667
"Iowa",2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1879713,1507604,372109,81029,291080,96375,1783338,1525856,11135,2555,8855,100924,233073,70899,229215,64757,37373,101568,43836,62605,8060,80521,37192,186413,32549,112581,101745,257482,19365,13972,224145,62860,161285,99123.2,87022.4,3787.1,3542.2,244.9,183.1,0,181.8,1.3,2030.5,3773.4,20973.5,11190.8,594.4,705.1,632.6,1250.9,4166.9,653.7,854.2,1166.3,114.1,738.1,314.5,9782.7,4491.9,39.8,118.6,515.3,488.2,99.5,3153.6,875.9,5289.7,6889.8,3053.3,33.1,532,34.1,1523.1,57.5,36.5,422.4,414.6,3068.6,857,137.6,1486.1,587.9,19311.2,9272.7,3355.1,314.3,5586.2,17.1,10038.5,9325.8,712.7,5448.5,2935,681.6,335,1918.4,579.9,1933.6,1770.9,162.7,7578.1,946.1,6632,2990.6,1856.5,1204.6,580.3,3047.5,799.6,209.8,589.9,2247.8,596.1,1651.7,2587.9,12100.8,1494,454.2,10152.6,3970.3,12179.6,5083.9,24042.1,28717.2,58305.3,"North Central",NA,0.8,0.666666666666667
"Iowa",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1873330,1500007,373323,76864,296459,91662,1781668,1523268,10336,2695,7787,103112,225517,69516,228217,64333,36213,102932,45603,62721,10081,80641,37263,188408,31625,114505,101763,258400,19110,14148,225142,63990,161152,105020.4,92372.4,3940.1,3683.5,256.6,196.5,0,195.3,1.2,2009.9,4117.5,21832.7,11155.6,680.1,701.1,512.8,1255.3,3627.2,1023.8,1161.4,1118.6,119,668.6,287.8,10677,5314.1,27.8,93,579.8,504.6,141.3,3112.4,904.1,5417,7117.2,3340.8,41.3,567.4,26.5,1741.5,56.9,43.4,418.4,445.5,3335.6,1014.9,152.3,1544.9,623.5,21682.4,11411.1,3425,313,7653.8,19.4,10271.3,9553,718.3,5866.5,3010.2,728.5,374.4,1907.4,792.4,2063.8,1884.6,179.2,7958.4,1008,6950.4,3116.4,1956.7,1257.6,619.8,3037,751.2,195,556.2,2285.8,616.5,1669.3,2520.9,12648,1560.8,555.3,10532,4136.6,12534.2,5350.7,25168.3,30086.7,62285.7,"North Central",NA,0.833333333333333,0.666666666666667
"Iowa",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1902227,1521678,380549,74640,305909,89651,1812576,1552550,11012,2791,7660,108234,228778,70531,228051,66411,36436,105172,47756,65519,10607,82864,39308,189799,32118,116143,103360,260026,18338,14235,227453,65799,161654,116834.4,103656.7,6820.3,6548.1,272.2,235.6,0,234.4,1.2,2125.2,4614.8,24008.6,13397.8,723.7,844.1,708.2,1422.6,4995.6,1131.1,1084.4,1338.1,125.8,718,306.1,10610.8,5287.9,49.6,90.1,606.6,488.8,105,3106.4,876.4,6000.2,7222,3881.7,46.2,678.5,22.4,2071.6,65.2,59.6,464,474.2,3808.6,1211.2,180.6,1680,736.8,24568.8,13959.6,3305.2,330.8,10300.9,22.7,10609.2,9914.8,694.4,6149.6,3157,764.7,393.1,1999.2,865.4,2127.2,1957.4,169.8,8508.6,1114.1,7394.5,3328.7,2089.9,1331.4,644.4,3107.8,728.5,207,521.4,2379.4,668.3,1711.1,2604.9,13177.7,1530.7,587.7,11059.2,7055.8,13222.2,6006.8,27817.2,35679.3,67977.4,"North Central",NA,0.833333333333333,0.666666666666667
"Iowa",2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1933919,1545547,388372,73612,314760,91214,1842705,1582838,11264,2934,7121,113399,234919,72328,228322,69310,36626,106691,50625,65447,12117,83472,40545,191878,32542,119200,104098,259867,18154,13673,228040,65382,162658,122256.2,108387.1,4916.8,4653,263.8,279.8,0,277.7,2.1,2178.6,5121.5,24274.4,14376.2,728.1,819,991.1,1502,5548.9,1175.6,1060.5,1254,153,849.1,294.9,9898.3,4794.4,40.3,69.8,593.5,501.4,116.4,2887.7,894.8,6683.8,7344.1,4264.4,64.7,760.4,20.4,2261.1,71.2,65.2,493.6,527.8,4015.1,1336.7,138.4,1819.9,720.2,27987.4,16674.5,3510.8,394.5,12746.8,22.5,11312.9,10570.1,742.7,6603.3,3286.2,775.6,430.8,2079.8,1021,2296.1,2126.1,170,8831.2,1127.6,7703.6,3514.9,2163.4,1350,675.3,3204,737.1,178.8,558.3,2466.9,718.3,1748.7,2682.6,13869.2,1558.4,643.5,11667.3,5196.6,14028,6442.9,28289.5,34592.5,73794.5,"North Central",NA,0.833333333333333,0.666666666666667
"Iowa",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965778,1568789,396989,71617,325372,87603,1878175,1616374,11489,3124,7133,117101,237157,72687,228049,71803,36370,110296,53977,67571,13124,86218,41997,196894,34126,122212,105046,261801,18146,13272,230383,65516,164867,127052.6,112528.2,4868.3,4542.3,325.9,329.9,0,328.3,1.6,2565.3,5484.9,26173,14989.2,699.8,900.7,944.7,1592.1,5601,1235.6,1519.2,1155.9,168.6,896.7,274.7,11183.9,5022.9,39.8,64.6,676.3,517.6,86.6,3868.5,907.6,7052.2,7437.3,4678.3,54.9,924.2,30.5,2446.9,87.9,69.4,500.6,563.8,4194.7,1416.7,169.6,1866.9,741.5,27186.3,15432.6,3625.7,441.3,11343.6,22.1,11753.7,10735.1,1018.6,7059.2,3456.8,806.8,482,2168,1150.4,2451.9,2289.5,162.5,9288.3,1194.6,8093.7,3680.3,2269.9,1410.4,733.2,3435.5,874.7,205,669.7,2560.8,733.5,1827.3,2774.9,14524.4,1631.4,591,12302,5198.2,14489.4,7243.6,30367.8,36856.1,75672,"North Central",NA,0.833333333333333,0.666666666666667
"Iowa",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994031,1579953,414078,74324,339754,90028,1904003,1640592,12705,3345,7303,115777,235868,73307,225903,73831,36741,116682,55703,71616,13519,89711,41332,201894,34813,124910,105632,263411,18297,12761,232353,66285,166068,137179.9,122061.4,6516.1,6202.5,313.6,325.5,0,323.9,1.6,2646.2,5653.2,26186.9,14976.3,664.5,722.8,1045.3,1635.2,5647.8,1496.9,1326,1089.7,183.1,876.1,289,11210.6,5658.4,49.7,71.1,584.1,579.7,87.8,3212.6,967.3,7550.6,7479.1,4741.1,56.9,952,30.4,2434.1,95.4,73.3,484.6,614.4,4516.4,1753,180.9,1957.6,625,32417.5,19318.4,3718.3,367.6,15215.3,17.2,13099.1,11914.6,1184.5,7855.3,3798.1,855.3,560,2382.9,1312,2745.1,2555.6,189.5,9635.4,1233.4,8402.1,3802.5,2378.6,1454.9,766,3694.7,1012.2,233.7,778.5,2682.5,806.4,1876.1,2843.4,15118.4,1636.4,580.7,12901.3,6841.7,15029.7,7387.4,30703.3,38681.8,83379.7,"North Central",NA,0.428571428571429,0.666666666666667
"Iowa",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997615,1586287,411328,73353,337975,91461,1906154,1639997,13536,3800,7499,115107,233278,74072,221154,73052,36246,121378,56556,72035,13847,89145,42380,204759,35017,123343,103793,266157,18376,12875,234906,67650,167256,137116.2,121221,7789.5,7457.7,331.8,371.9,0,368.2,3.7,3200.5,5600.3,26707,14176.2,622.2,652.7,1053.4,1717.1,5359.1,1591.1,1050.7,857.5,192.9,721.4,358.1,12530.8,6199.5,56.9,68.9,504.8,581.4,126.8,4106.6,886,8398.9,7753,4887.1,56.1,1073,33.1,2376.8,105.3,77.8,518,646.9,4680.6,1648,174.9,2073,784.7,26260.3,12999.7,3906,187.5,8871.7,34.5,13260.6,11871.1,1389.4,8407.2,4209.1,979.2,591,2638.9,1309.8,2888.3,2677.4,210.9,10466.3,1362.4,9103.9,4159.6,2535.3,1575.4,833.6,3817.4,1046.3,267,779.4,2771.1,831.8,1939.3,2880.9,15895.2,1569.5,648.3,13677.4,8161.4,16151.9,8087.7,31387.6,40468.8,80752.3,"North Central",NA,0.428571428571429,0.666666666666667
"Iowa",2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1959142,1540936,418206,72595,345611,88852,1870290,1600268,14334,3812,7323,106173,209646,71729,218304,71715,34451,126452,56964,70302,14035,84987,44039,207431,34857,120770,102944,270022,18536,12900,238586,68075,170511,136819.9,119928.7,6022,5681.6,340.3,301.1,0,297.9,3.3,3292.1,5437,25341.1,12059.1,504.3,609.4,663.7,1393.2,4965.4,1602.8,791.1,282.6,194.8,585.6,466,13282,7382.7,59.5,51.2,636,550.4,120.4,3568,913.8,8407.4,7943.1,4674.3,71,958.4,29.2,2241.6,105.7,76.5,489.2,702.6,4861.3,1545.3,194.6,2292.5,828.9,27496.8,13459,4036.2,418.8,8960.8,43.3,14037.8,13088,949.9,8340.6,4199.6,916.3,646.1,2637.2,1330.1,2810.9,2583.3,227.6,11052.8,1518.8,9534,4348.1,2641.7,1670.4,873.7,3812.2,1068,299.3,768.6,2744.3,764.3,1980,2947,16891.1,1668,737.6,14485.5,6323.1,16350.5,7966.4,30202.4,37101.2,82827.5,"North Central",NA,0.428571428571429,0.666666666666667
